total_seqtk_reads,sampled_cells,validation_error,total_UMIs,estimated_reads,estimated_UMIs,reads_per_cell,UMIs_per_cell,duplication_rate,dataset
5000000,707,1998.4,1689472,902706,305019,1276,431,2.96,SRR9169193
5000000,999,1886.5,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1421.4,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1372.0,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1247.6,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1267.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1732.6,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1554.0,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1973.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1632.7,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1260.8,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1226.6,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1455.5,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,1996,1478.1,1689472,2548518,861130,1276,431,2.96,SRR9169193
5000000,999,1664.7,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1454.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1605.5,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1202.3,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1395.4,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1218.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1698.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1934.7,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1191.1,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,2201.5,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1255.3,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1814.6,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,2447.1,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1389.2,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1547.8,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,2822,1571.9,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,1996,1677.7,1689472,2548518,861130,1276,431,2.96,SRR9169193
5000000,2822,977.0,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1087.6,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1455.0,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1908.2,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1511.3,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1116.0,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1238.4,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1316.5,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1487.0,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1396.7,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1043.1,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1144.6,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1418.2,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,981.7,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,937.4,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1382.9,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1109.3,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1391.6,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1030.7,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1289.2,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1394.9,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1269.5,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1343.5,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1139.3,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1699.6,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1093.9,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,2822,1179.6,1689472,3603166,1217489,1276,431,2.96,SRR9169193
5000000,999,1515.3,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1721.3,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,999,1669.5,1689472,1275536,430996,1276,431,2.96,SRR9169193
5000000,500,1511.8,1689472,638406,215713,1276,431,2.96,SRR9169193
5000000,1996,1817.4,1689472,2548518,861130,1276,431,2.96,SRR9169193
