total_seqtk_reads,sampled_cells,validation_error,total_UMIs,estimated_reads,estimated_UMIs,reads_per_cell,UMIs_per_cell,duplication_rate,dataset
5000000,500,1165.5,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1214.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1197.1,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1007.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1407.0,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1019.6,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1239.7,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1350.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1366.7,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1249.1,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1038.7,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1337.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1263.8,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1673.7,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1235.4,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1430.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1433.5,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1204.8,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1032.8,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1084.7,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1221.5,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,876.1,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1275.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1131.6,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1159.4,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1390.4,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1074.0,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,877.4,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,500,1766.2,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,707,894.4,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,500,1178.8,1940326,2582644,1002234,5165,2004,2.58,heart_1k_v3
5000000,707,1353.7,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1082.3,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,904.8,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1325.1,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1022.0,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1345.5,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1674.8,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1130.7,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1623.3,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1014.9,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,772.1,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1719.4,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1518.4,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,795.8,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1905.1,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1181.2,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1213.7,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1247.0,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1524.6,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1177.5,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,678.3,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1336.6,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,1397.6,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
5000000,707,912.7,1940326,3651859,1417159,5165,2004,2.58,heart_1k_v3
