total_seqtk_reads,sampled_cells,validation_error,total_UMIs,estimated_reads,estimated_UMIs,reads_per_cell,UMIs_per_cell,duplication_rate,dataset
5000000,707,1482.5,1982354,2921487,1158284,4132,1638,2.52,pbmc_1k_v3
5000000,500,1871.0,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,2499.7,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1252.6,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1834.1,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1090.8,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1497.9,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1424.4,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1506.0,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1515.4,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1207.4,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1362.2,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1571.9,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1071.8,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1952.6,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1462.0,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,2042.3,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1413.1,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1793.2,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1794.9,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1460.6,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1471.1,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1293.0,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1511.3,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1536.6,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1258.9,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1437.3,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,2002.8,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,500,1565.2,1982354,2066115,819154,4132,1638,2.52,pbmc_1k_v3
5000000,999,1259.6,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1491.1,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1043.2,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1488.8,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1328.2,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1404.1,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1177.8,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1428.4,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1009.9,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1358.8,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1402.8,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1350.5,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1212.2,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1082.6,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1603.8,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1333.1,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1430.0,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1044.5,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1528.9,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1736.5,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
5000000,999,1543.1,1982354,4128099,1636670,4132,1638,2.52,pbmc_1k_v3
