total_seqtk_reads,sampled_cells,validation_error,total_UMIs,estimated_reads,estimated_UMIs,reads_per_cell,UMIs_per_cell,duplication_rate,dataset
5000000,707,1349.7,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,1412,1268.7,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1187.6,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,707,1427.3,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1757.5,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1578.5,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1016.9,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1628.1,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1495.0,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1194.2,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1210.8,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1038.8,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1104.1,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1451.7,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1409.1,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1368.4,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1421.6,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1141.9,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,1412,1490.9,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,707,1077.6,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1558.5,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1127.1,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1531.4,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1034.7,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1166.9,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1555.1,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,1412,1127.3,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,707,1265.2,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,1412,1749.9,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,2822,1033.6,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,950.5,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1064.0,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,983.3,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,790.3,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1207.7,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1582.8,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1270.0,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,914.6,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,1412,1167.8,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,2822,1228.5,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1230.3,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,726.4,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1324.8,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1273.3,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1246.5,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1334.9,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1095.0,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,768.2,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1411.1,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1157.1,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1394.2,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1216.7,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1572.6,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1017.6,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,983.1,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,2822,1358.6,1666508,3675436,1225028,1302,434,3.0,SRR9169414
5000000,707,942.0,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1530.4,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,707,1112.6,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,500,971.9,1666508,651211,217049,1302,434,3.0,SRR9169414
5000000,500,1883.6,1666508,651211,217049,1302,434,3.0,SRR9169414
5000000,707,1437.8,1666508,920812,306908,1302,434,3.0,SRR9169414
5000000,1412,1416.9,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1676.1,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1989.1,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1139.3,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,2082.0,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1285.3,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,1212.6,1666508,1839020,612948,1302,434,3.0,SRR9169414
5000000,1412,929.4,1666508,1839020,612948,1302,434,3.0,SRR9169414
